own_army_size,own_training_level,own_equipment_prestige,own_supplies,own_morale,own_fatigue,own_commander_skill,own_command_efficiency,own_technology_level,enemy_army_size,enemy_training_level,enemy_equipment_prestige,enemy_supplies,enemy_morale,enemy_fatigue,enemy_commander_skill,enemy_command_efficiency,enemy_technology_level,army_size_ratio (enemy/own),training_level_ratio (enemy/own),equipment_prestige_ratio (enemy/own),supplies_ratio (enemy/own),morale_ratio (enemy/own),fatigue_ratio (enemy/own),commander_skill_ratio (enemy/own),command_efficiency_ratio (enemy/own),technology_level_ratio (enemy/own),weather_condition,visibility,time_of_day,own_strategic_posture,enemy_strategic_posture,surprise_ambush_factor,home_territory_advantage,win_chance_%
4058,4.36,7.57,3227,3.69,8.63,7.67,1.38,8.36,13182,7.18,0.94,952,5.26,1.98,1.3,11.2,10.85,3.248,1.647,0.124,0.295,1.425,0.229,0.169,8.116,1.298,Clear,Very Low,Morning,Defend,Attack,None,No,11.0
9532,4.0,2.66,2351,1.85,5.45,8.93,8.46,2.31,13626,6.56,1.75,3801,1.14,9.41,7.24,7.47,5.87,1.43,1.64,0.658,1.617,0.616,1.727,0.811,0.883,2.541,Rain,Excellent,Midday,Attack,Defend,None,No,43.2
7454,2.59,4.12,4826,2.14,2.76,5.17,3.24,9.52,5800,4.54,5.47,4327,7.74,7.58,9.69,4.33,6.6,0.778,1.753,1.328,0.897,3.617,2.746,1.874,1.336,0.693,Clear,Good,Dawn,Attack,Defend,Partial,Yes,79.6
6187,6.47,6.97,1173,2.63,7.63,3.6,3.56,8.59,3628,6.17,11.38,3579,2.93,7.95,9.29,10.65,9.02,0.586,0.954,1.633,3.051,1.114,1.042,2.581,2.992,1.05,Fog,Low,Midday,Attack,Defend,None,No,1.0
1982,5.29,5.34,2980,2.83,4.77,3.87,3.04,9.27,3037,4.7,1.36,3647,4.4,3.33,10.13,7.62,2.28,1.532,0.888,0.255,1.224,1.555,0.698,2.618,2.507,0.246,Cloudy,Low,Morning,Attack,Defend,Partial,Yes,83.9
1982,8.79,7.65,3531,3.18,6.35,7.27,8.56,3.57,13253,8.07,8.8,1179,2.57,7.5,11.76,4.97,1.5,6.687,0.918,1.15,0.334,0.808,1.181,1.618,0.581,0.42,Cloudy,Excellent,Morning,Attack,Defend,None,No,43.7
1052,1.29,9.65,4145,3.3,1.97,6.11,9.81,4.02,3622,10.1,6.33,4210,9.04,9.11,11.95,8.7,3.51,3.443,7.829,0.656,1.016,2.739,4.624,1.956,0.887,0.873,Cloudy,Excellent,Midday,Attack,Defend,None,No,2.8
8729,6.79,2.05,2094,5.1,6.68,5.38,7.8,5.23,8056,9.55,3.67,6839,6.86,4.07,5.22,10.37,10.68,0.923,1.406,1.79,3.266,1.345,0.609,0.97,1.329,2.042,Rain,Good,Night,Defend,Attack,None,No,1.8
6211,7.87,7.39,3466,5.59,4.36,2.82,8.41,3.02,5110,4.42,4.14,6832,2.78,11.39,6.27,0.76,10.33,0.823,0.562,0.56,1.971,0.497,2.612,2.223,0.09,3.421,Cloudy,Low,Afternoon,Defend,Defend,None,Yes,94.0
7227,7.84,3.07,1586,3.78,4.01,8.88,6.58,5.19,7584,6.36,0.76,2477,2.77,4.83,6.23,3.92,1.87,1.049,0.811,0.248,1.562,0.733,1.204,0.702,0.596,0.36,Cloudy,Good,Dawn,Attack,Defend,None,No,98.3
696,8.97,4.73,2234,9.17,9.82,8.03,5.76,1.08,5317,0.62,8.55,5113,3.11,4.63,7.88,3.06,11.69,7.639,0.069,1.808,2.289,0.339,0.471,0.981,0.531,10.824,Clear,Good,Morning,Defend,Defend,None,Yes,9.8
9714,7.56,1.3,4489,5.98,4.89,2.27,7.49,8.9,4536,10.51,1.65,3119,11.52,4.93,3.33,4.19,3.37,0.467,1.39,1.269,0.695,1.926,1.008,1.467,0.559,0.379,Clear,Moderate,Dawn,Attack,Defend,None,Yes,91.3
8408,9.35,2.22,4755,8.09,7.1,4.31,1.32,2.46,6524,3.32,0.9,1007,5.96,10.89,9.38,10.12,9.8,0.776,0.355,0.405,0.212,0.737,1.534,2.176,7.667,3.984,Cloudy,Excellent,Morning,Defend,Defend,Partial,No,92.4
2517,3.99,3.88,3622,9.32,6.65,5.88,1.55,5.51,5127,5.57,5.89,5196,11.19,4.03,1.96,5.32,9.11,2.037,1.396,1.518,1.435,1.201,0.606,0.333,3.432,1.653,Storm,Good,Midday,Defend,Attack,None,Yes,1.0
2227,5.53,4.08,1934,2.47,1.94,5.09,7.19,9.36,12627,2.25,5.99,2441,11.9,7.56,11.44,4.4,10.24,5.67,0.407,1.468,1.262,4.818,3.897,2.248,0.612,1.094,Cloudy,Excellent,Morning,Defend,Defend,Partial,Yes,10.4
2242,1.13,9.1,4118,4.85,7.73,4.58,4.02,8.39,8794,8.3,8.03,5338,6.36,3.54,1.93,7.15,10.75,3.922,7.345,0.882,1.296,1.311,0.458,0.421,1.779,1.281,Clear,Good,Midday,Attack,Defend,None,No,1.0
3390,1.06,7.68,227,4.9,3.91,7.47,5.4,7.99,2807,6.77,8.62,2687,1.48,9.42,9.04,3.44,2.84,0.828,6.387,1.122,11.837,0.302,2.409,1.21,0.637,0.355,Cloudy,Excellent,Dusk,Defend,Defend,None,No,7.3
5485,3.16,9.75,603,4.19,8.19,1.49,8.04,6.45,3692,4.7,6.35,1266,9.83,11.87,5.07,8.04,7.31,0.673,1.487,0.651,2.1,2.346,1.449,3.403,1.0,1.133,Fog,Good,Dusk,Defend,Defend,Full Ambush,Yes,42.4
4603,1.91,6.39,3341,1.08,6.47,5.24,6.19,4.93,993,6.65,8.64,5978,7.52,11.7,7.79,0.89,1.44,0.216,3.482,1.352,1.789,6.963,1.808,1.487,0.144,0.292,Rain,Good,Midday,Defend,Defend,None,No,73.5
3267,3.34,3.18,1527,8.34,3.85,3.36,8.25,5.01,4635,2.44,3.38,410,1.35,1.86,4.11,4.52,1.5,1.419,0.731,1.063,0.269,0.162,0.483,1.223,0.548,0.299,Fog,Moderate,Midday,Attack,Defend,Partial,Yes,99.0
6313,2.59,3.95,4762,2.0,4.21,1.76,4.77,1.78,10109,9.42,2.15,2591,6.13,9.83,1.88,6.07,8.42,1.601,3.637,0.544,0.544,3.065,2.335,1.068,1.273,4.73,Clear,Good,Dusk,Attack,Defend,None,Yes,20.0
1825,1.26,3.88,2237,9.96,7.58,5.18,3.59,1.58,2908,3.56,11.21,4724,8.12,7.95,11.29,6.57,7.37,1.593,2.825,2.889,2.112,0.815,1.049,2.18,1.83,4.665,Rain,Moderate,Midday,Defend,Attack,Partial,No,1.0
